entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
1403,4,[98975.445 55520.383 49165.07  14934.094],[1.1385409  0.10069951 0.84155846 0.13245864],[ 3.1299748  2.7448423 -2.7169616 -2.953459 ],[170361.25   55802.12   67627.08   15065.667],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[  27.338074 4227.0576   -519.1119   -430.7928  ],1.7648833092152912e-07,119.64399216760575
1404,4,[67812.09  21872.674 20020.445 10836.095],[2.2846994 1.8279983 2.2983499 1.0959071],[-0.2870042   2.7636003   1.7823405  -0.10429341],[336501.88   69797.41  100684.49   18021.139],[ 1 -1 -1  1],[13 11 13 11],[0. 0. 0. 0.],[-223.04407 1665.3905  -333.5661  1148.6077 ],1.684417639402771e-07,117.95401682321464
1405,4,[31712.092 22912.957 22091.334 10377.77 ],[-0.81499195 -1.240797   -1.0893035  -1.1697383 ],[-1.5818614  2.0326517 -1.3959985 -2.3772497],[42839.87  42933.41  36546.29  18325.053],[-1  1 -1  1],[11 11 11 11],[   0.     1110.9359    0.        0.    ],[-497.3695    -852.8734    -213.81247      4.8658905],1.4542018471247355e-07,77.56055467165368
1406,4,[69699.016 47587.18  29912.637 15178.152],[ 1.5586641   1.1052039  -0.15821941  0.14363064],[-2.6105783 -2.974084  -3.0111551 -3.0455806],[172954.11   79731.92   30287.826  15334.982],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[-386.9234    844.5841    -62.709198 1100.6722  ],1.588360788301595e-07,123.78161062636205
1407,4,[63247.008 24488.805 24111.498 11697.179],[ 0.32297525 -0.5201312  -0.15173961  0.7473209 ],[-0.6951374  2.4812942 -2.2925885 -0.2428358],[66574.52  27876.719 24389.842 15118.796],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 822.87915 2136.1228  -104.8313   -73.51221],1.6251802428643545e-07,122.4973098658966
1410,4,[82156.46  63268.23  63172.203 39193.125],[-2.0347826 -1.7130177 -1.0437019 -1.4065005],[-2.1359065 -2.473033  -2.7395806 -2.0036166],[319641.97  181136.73  100818.42   84787.445],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-331.52695 -331.52695 -368.25452  360.1986 ],1.617987063536199e-07,119.93445371048378
1411,4,[75642.195 34628.15  31692.12  25778.654],[-0.12840967  0.48471618 -0.07662086  0.08471838],[-1.9196477   0.09703951 -0.8871642  -1.6807451 ],[76266.76  38776.504 31785.193 25871.219],[ 1 -1  1 -1],[13 13 11 11],[   0.    3975.592    0.       0.   ],[-1075.2122    -247.62646     71.539276  4583.1562  ],1.6200033876758573e-07,123.2789153955168
1412,4,[130493.25   24544.754  10165.96    7100.927],[-0.30663246 -0.49360776  0.6505897   1.172386  ],[ 2.4823964  0.9323815 -2.1724732  2.6510005],[136676.22   27596.31   12394.833  12566.659],[-1  1 -1  1],[13 13 13 13],[   0.        0.     1071.8336    0.    ],[-283.8402   315.37036 -698.629   1543.2372 ],1.6015755267581939e-07,124.37565422137901
1413,4,[52483.98  18017.008 14624.468  7645.283],[1.54935   0.3042238 1.8045795 2.446063 ],[ 0.8982784 -2.4953554 -1.8774301  1.2459555],[129131.45   18857.215  45642.664  44455.21 ],[ 1 -1  1 -1],[11 11 11 11],[3071.3328    0.        0.        0.    ],[-556.97455   539.88654   -21.565125  688.5419  ],1.4976173480349223e-07,107.33925259989162
1414,4,[39249.207 31260.455 20915.17  17638.014],[-0.6291271   0.32465667 -0.25098637 -0.38848397],[ 0.07434521 -0.7440118  -0.48339495  2.7477286 ],[47276.36  32922.434 21577.402 18986.094],[ 1 -1  1 -1],[13 11 11 13],[0. 0. 0. 0.],[-214.82104 1881.7865  1554.535     80.05054],1.6541940609185535e-07,95.84251711547283
1415,4,[78740.38  75656.414 33478.883 27486.807],[-1.6062417  -0.04382228 -1.0752381  -0.532071  ],[ 2.8245764  -0.23526107 -0.6801418   2.4717073 ],[204122.06   75729.07   54770.     31470.217],[ 1 -1 -1  1],[13 11 13 11],[0. 0. 0. 0.],[-427.33868  862.7544    51.47223  804.8806 ],1.6134999676020303e-07,267.11056492159935
1417,4,[114080.18   32231.568  15887.961  12280.941],[1.7692662 2.1969593 1.75297   0.1283495],[-2.3203282  -2.310378   -1.3245586  -0.38751173],[344351.34  146794.73   47226.906  12382.687],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-348.28024 1692.083   -348.28024 1329.6477 ],1.7129708801222483e-07,125.07983278990092
