entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
84,4,[74676.664 37123.83  32085.064  7071.839],[-1.0026579 -2.4747856 -1.8294929 -0.8271554],[-0.58228713 -0.39997563 -3.0319064  -1.2062896 ],[115465.83  222062.53  102531.375   9632.184],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-239.18393  -78.61232  846.8392   756.30304],2.9424780039902196e-05,156.64923622114136
86,4,[95582.66  46252.895 39247.75  12809.89 ],[-1.176612  -1.0670612 -1.6587852 -1.7865615],[-0.67215276 -2.169579   -1.197699   -0.32726178],[169739.92   75180.44  106818.61   39303.625],[ 1 -1 -1  1],[11 11 13 13],[2517.6033    0.        0.        0.    ],[  560.8943  -1357.5466   -193.25415  1076.8639 ],1.764355854017827e-05,123.24594603758126
88,4,[107774.75   33250.402  23552.764  22418.854],[0.26997432 0.27424172 0.07950559 0.20968404],[ 0.44420987 -0.3796048   0.69986063 -2.1658807 ],[111726.36   34508.613  23627.242  22913.754],[ 1  1 -1 -1],[13 11 11 13],[0. 0. 0. 0.],[-630.5669  -207.44489 -703.61    1424.0527 ],2.8562752938813157e-05,127.7219404962506
89,4,[105985.32   37701.523  36809.746  23315.424],[ 0.90053225 -0.04613156  1.2760254   1.0206654 ],[0.03018608 1.1262393  0.55331135 0.7660238 ],[151944.08   37741.797  71070.74   36551.54 ],[-1  1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 844.67676  -94.53357 -295.42188 -483.6283 ],2.539205258390511e-05,125.14020027698336
91,4,[50407.027 27873.951 23259.637 10350.102],[-0.06634822 -1.786735   -0.43022472 -1.0960174 ],[ 1.2511654  1.6512538 -0.2804329 -1.6503334],[50518.125 85537.29  25445.865 17214.416],[ 1 -1 -1  1],[13 11 13 11],[   0.     2342.7876    0.     1500.0885],[-207.0105  -621.2678  -516.59265   52.84143],1.3967636485335977e-05,124.54552400331484
93,4,[45169.117  42908.305  38955.918   7917.8306],[-1.717735  -1.7649035 -2.2950966 -1.282961 ],[-1.6461278   0.23563571  0.8498666   1.8041413 ],[129892.11  128986.96  195288.9    15378.851],[ 1 -1  1 -1],[13 13 13 13],[   0.     1492.6914 1522.4901 1503.4064],[1776.5583 1139.1871 1806.4873 -963.3814],1.4145355011165702e-05,126.17350477741947
94,4,[46742.734 44061.297 17185.705 15622.089],[2.002086  2.365113  1.9767061 1.5506932],[ 2.6125636  -0.08859062 -0.5350949   2.313339  ],[176209.36  236591.14   63221.574  38483.895],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-136.92012 -136.92012 -136.92012 -136.92012],2.3090187996586005e-05,125.65824858432642
96,4,[39403.05  38980.914 30147.047 10133.155],[-1.1110804  -0.2044241  -0.73905003 -0.7197441 ],[-2.8904154   0.17052515  0.85165703  2.9135954 ],[66332.    39798.387 38761.758 12873.081],[ 1 -1  1 -1],[13 13 11 11],[1169.288    0.       0.       0.   ],[-1140.4379  1650.139   3898.5637  -968.1289],7.691811293642843e-06,124.6293775962903
98,4,[43620.09  27559.496 22457.62   8616.992],[ 0.42079714 -0.33737975 -0.39720953 -1.0941304 ],[-1.9856666  1.3830328 -2.897106  -1.191072 ],[47539.44  29143.104 24252.895 14310.694],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-248.9596   -631.7833     59.846313  -15.224243],3.761273380902557e-05,107.25248075777425
99,4,[78036.016 29823.1   16224.955 11464.594],[0.07298547 0.2622046  0.74278224 0.960567  ],[ 2.4966733  -0.30196264  2.569453   -2.719194  ],[78243.95  30854.174 20910.424 17173.121],[-1  1 -1  1],[11 11 11 11],[   0.     1689.9246    0.        0.    ],[  15.590088 2004.2928   -181.27716  1642.7427  ],2.3665359421986017e-05,122.30414760956485
102,4,[46701.094 29108.139 15553.668 13032.789],[-1.4130765  -0.09907504 -0.8395235   0.24703749],[ 3.004781    0.35907763 -2.7413158   0.72737014],[101620.92   29251.307  21364.361  13432.495],[-1  1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[1740.4431   1287.4214    -10.230988 3457.9856  ],9.009847630618248e-06,124.8694525171607
104,4,[44921.598 39306.91  15543.726 14104.713],[1.6187531 2.368278  1.117118  1.9032508],[ 3.0515494   0.37577114  2.3118868  -2.0324972 ],[117805.52  211719.39   26294.41   48356.344],[ 1 -1 -1  1],[11 11 13 13],[1352.613 1700.716    0.       0.   ],[2755.814    -89.40228 -449.70905 -364.26465],2.6813623356212736e-05,121.1149444999881
105,4,[58209.348 48842.74  36361.957 31849.613],[-2.3946738 -1.0747788 -1.6762577 -1.6554674],[ 0.9934936  1.99453   -1.2190453  1.6886182],[321776.16   79875.484 100587.84   86416.43 ],[-1  1  1 -1],[13 13 11 11],[   0.     2167.538  4322.4023 5119.3086],[-664.6923  2844.887    404.65802 1380.7732 ],0.0,176.55768346093433
106,4,[63040.58  37459.973 18206.744 12508.118],[-0.43044826 -1.048229   -1.1490605   0.24450612],[ 3.0478013  0.8799299  1.5003077 -2.5339618],[68971.57  59995.008 31608.379 12883.872],[ 1 -1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[3087.375    762.4534   539.73035 -559.8963 ],2.5712498984183654e-05,127.17595545573236
107,4,[104241.36   25080.06   13409.166  12045.055],[-0.556787   -1.7775462  -0.10187252 -0.6127194 ],[-3.019515   1.9101499 -2.326383  -1.7909737],[120821.2    76298.33   13478.807  14377.69 ],[ 1 -1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-297.12573 -181.61365  188.03198 1151.3303 ],2.495227107082505e-05,122.26418415306433
111,4,[148897.3    46356.305  13588.751   9296.948],[0.97928464 0.85260034 0.5314026  0.57689464],[ 2.0259285  2.4797199 -0.5524274 -2.9547668],[226184.72   64250.934  15552.983  10887.893],[-1  1  1 -1],[11 13 11 13],[1920.8016    0.     3201.936     0.    ],[ 242.58984 -761.9245  2458.4268  -761.9245 ],3.100228852217137e-05,122.44745115454339
112,4,[42993.07  42299.32  17321.77  14522.113],[0.87908214 0.55281574 0.6189781  0.21927966],[ 2.5051146  -0.29630932 -1.6080264  -2.8007922 ],[60703.027 48929.06  20747.625 14873.027],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 382.74854 1279.4447   318.72675 -447.79034],3.5643477392005156e-05,119.20523305397128
115,4,[57254.996  56817.547  24689.33    8032.0483],[-2.1097841  -0.74916893 -0.90502524 -0.5745036 ],[1.9547127 2.1564822 0.911278  0.6769574],[239547.03   73521.92   35509.906   9395.01 ],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[1027.6653  -358.31702 1067.8696  2893.7002 ],1.6472725031605687e-05,125.08479249130583
116,4,[53864.953 48072.195 41910.055 39141.79 ],[ 0.37519652 -0.6413998   0.23821759 -0.09075837],[ 0.22203302 -1.1607158  -1.0081998  -0.2791054 ],[57700.99  58304.176 43104.965 39303.25 ],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 186.32083  802.51294 -305.65005 -305.65005],2.9567993603237823e-05,125.84288402275898
117,4,[46825.387 28748.258 27428.52  18552.178],[-0.14742023 -0.8221309  -0.78861564  0.02950102],[ 2.3372178   0.46721253  0.13699727 -2.654421  ],[47335.25  39023.42  36409.07  18560.252],[ 1  1 -1 -1],[13 11 13 11],[   0.     1209.0265    0.        0.    ],[-415.038   -286.09808  416.82553 1127.5144 ],1.9523010630923583e-05,122.47052166274989
118,4,[52903.793 37265.21  35805.34  14091.733],[-1.7340838  -1.551243   -0.44843388 -1.3450985 ],[ 2.9685616  -1.4665744  -0.38825515 -0.43821478],[154487.     91846.03   39466.176  28881.562],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ -891.59204  2686.413    -141.6676  -1736.8862 ],1.7144488398250008e-05,152.88850063759566
119,4,[72372.336 44934.555 43104.242 13555.917],[-1.2360946  -0.671875   -0.40056336 -0.5432675 ],[ 0.8920986   0.14480159  0.11953042 -2.32687   ],[135070.69   55464.06   46608.906  15606.048],[-1  1 -1  1],[11 13 13 11],[    0.    43611.86  45247.957     0.   ],[ -548.42145 -1079.684   -1079.684    -251.09009],2.843229961044179e-05,125.2567643229005
124,4,[162393.64   84491.47   35735.934  10443.386],[ 0.7052388  -0.02878353  1.0048778   0.4585929 ],[-0.80640215 -0.8171188  -1.403745   -1.0215638 ],[204479.66   84526.54   55348.938  11560.928],[-1  1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[  386.9773  -1086.5479   2202.7737    330.27142],7.943397385169225e-06,124.09998900066768
125,4,[121928.03  100643.836  23926.78   11682.743],[-0.94227225 -0.5902326  -0.13910225 -1.756354  ],[ 2.6466327  2.1482468 -2.8588736  2.2815244],[180182.    118689.6    24158.87   34837.688],[ 1 -1 -1  1],[13 11 13 11],[0. 0. 0. 0.],[ 532.224   1685.6792   231.19244 2777.72   ],3.861091920330502e-05,127.7759184248332
126,4,[54099.066  34895.117  15909.257   7718.0312],[-1.8104765  -2.2862513  -2.138807   -0.49493128],[ 2.2358162 -0.2102264 -1.8654404 -1.105551 ],[169788.19  173422.38   68466.28    8682.778],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[265.26923 743.77783 206.85965 977.6356 ],2.2632875069477156e-05,124.17454144880827
128,4,[33264.63   15059.601  12087.46    7421.0073],[ 0.99910504  1.617922    1.401202   -1.5580629 ],[-1.4670072 -2.0614002  1.069866   1.0131239],[51295.04  39463.156 26026.799 18404.676],[-1  1 -1  1],[11 13 13 11],[   0.    3110.734    0.       0.   ],[-911.3345    107.845764  863.3561   -239.73987 ],3.5198817938526315e-05,103.39633975729608
129,4,[73864.164 25423.201 15363.472  9989.095],[-0.90902895 -0.79189914 -2.257768   -0.12851006],[ 0.13987783 -3.0131402   1.4532853   0.45886844],[106542.65   33820.086  74254.016  10071.692],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 1587.4149 -1065.0684  4880.3164  2110.634 ],7.803168628150361e-06,128.02658703206163
130,4,[75311.66  35664.434 23170.113 19363.07 ],[-0.9850824  -1.8479491  -0.07724629 -0.41271424],[ 3.0954833   0.473735   -0.10108654  1.4702028 ],[114904.54  115986.98   23239.275  21035.697],[ 1  1 -1 -1],[11 11 11 11],[   0.        0.     1090.9565    0.    ],[-1393.3926   -125.55228  1367.5505    725.2585 ],2.5605367744463675e-05,176.39071895210412
131,4,[66406.336 44019.957 28457.004 19526.93 ],[-1.8704139 -1.1816312 -1.0694246 -1.2209225],[ 2.266841   2.947506   1.9048947 -1.5148821],[220636.45  78497.82  46340.93  35981.02],[-1  1 -1  1],[11 11 11 11],[   0.     8018.4927    0.        0.    ],[1487.5853  -121.77399  906.83655 -335.32562],3.103984746029738e-05,122.90601836980673
132,4,[51207.344 49529.875 11635.216  8963.819],[1.1621801  0.79212606 2.226727   1.9033597 ],[ 1.0231106 -1.2242771 -2.9365654  0.6685157],[89861.234 65898.766 54553.793 30734.523],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-389.7588   -663.9187    126.002045 2380.867   ],3.460071688515435e-05,128.72433111621945
