entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
6519,2,[62031.75  35010.566],[-1.6210821   0.72894317],[-0.20362838  1.7001348 ],[ 347.09012 1889.0089 ],[   0.     1379.3834],[ True  True],156.20363525180485
6641,2,[79843.875 38572.03 ],[-1.2823358 -0.4442069],[ 0.88314396 -2.1171126 ],[-906.4699 3039.7292],[0. 0.],[ True  True],120.62579462256407
6733,2,[70430.88  56937.742],[-1.5878369  -0.50393915],[ 2.5093045  -0.38203785],[154.02844 984.20276],[0. 0.],[ True  True],144.85116150268794
6750,2,[55708.75  45838.367],[-0.3847511  -0.70016855],[-0.04048584  2.8556712 ],[2404.886    423.48938],[1022.37335    0.     ],[ True  True],101.5751147741719
6767,2,[90060.71 65713.68],[-0.47938707 -0.39881778],[ 0.23414327 -2.7042096 ],[-791.6989 -854.6552],[0. 0.],[ True  True],153.19171322472067
6799,2,[78026.93 72842.97],[1.0061859  0.42979828],[-0.44288966  2.5538905 ],[ 563.2977  -709.93365],[2985.9688    0.    ],[ True  True],156.7066929293813
6808,2,[41227.137 37900.273],[ 0.5957401 -1.3002328],[ 3.1113374  -0.23146679],[1382.5033 2398.2576],[    0.    20695.564],[ True  True],117.05338546418274
6858,2,[68392.35 38850.1 ],[-1.329605   -0.91498214],[ 2.9362683  -0.45888406],[1243.1809     40.446472],[2041.2896    0.    ],[ True  True],104.50667231382438
6947,2,[60640.992 38653.766],[-0.83834815 -0.01436694],[0.09498128 2.9453843 ],[ 618.5033 2044.6514],[   0.     1538.7578],[ True  True],104.22194555258396
6990,2,[41538.547 30581.154],[ 0.6948914 -1.3673036],[ 1.7192278  -0.86144316],[2543.3057   403.27167],[ 8653.733 10819.918],[ True  True],110.91188579955308
7014,2,[59021.605 38081.094],[-0.70047605 -2.0922353 ],[-2.9078135  1.6031834],[-595.83795 -139.8194 ],[12553.298   1309.7563],[ True  True],102.45842460865222
7020,2,[50201.945 39516.64 ],[-0.26453498  1.7541587 ],[ 0.45897081 -2.5451207 ],[3836.959  635.912],[2403.927  2535.6592],[ True  True],138.30684184029948
7112,2,[70636.76  44462.703],[0.52084976 0.63908136],[-1.002038   2.1196587],[ 428.4928 1809.3506],[0. 0.],[ True  True],112.27428773050916
7253,2,[93150.26 30870.7 ],[-1.5466869 -1.1765417],[-1.6114029  2.0077832],[  380.5686 -1365.7902],[9308.872    0.   ],[ True  True],106.10095580383077
7262,2,[61199.527 52187.188],[ 1.1385071  -0.30732033],[ 2.2646897 -1.5434598],[-628.5367  -631.98145],[0. 0.],[ True  True],139.03849200145228
7328,2,[50561.992 44531.746],[-1.5926478  -0.00605406],[-0.18835437  2.3489034 ],[-258.9668 2126.169 ],[1343.077    0.   ],[ True  True],123.16715522141956
7348,2,[44222.445 31713.816],[ 0.08056989 -1.6874933 ],[ 1.686924  -0.8972414],[-847.4481   216.72972],[0. 0.],[ True  True],104.10274361808457
7398,2,[66736.164 39044.652],[0.21153991 0.84623426],[-2.3122838  1.1574227],[1388.718  1044.5714],[0. 0.],[ True  True],105.97228712854385
7510,2,[61080.586 55625.81 ],[-0.78035825  0.75836694],[-0.01166421  3.1324553 ],[-861.78284 -530.82056],[0. 0.],[ True  True],152.81721305320556
7547,2,[56414.504 33598.44 ],[-0.22852613  1.0243818 ],[-2.6167793  0.8336176],[1152.2103 -413.166 ],[2854.342    0.   ],[ True  True],103.86547155110338
7628,2,[77008.87 40915.95],[-1.145507  -1.9274304],[ 0.9735504 -1.157094 ],[-1084.8964  2738.4006],[   0.   4512.04],[ True  True],108.05107264160632
7750,2,[47176.14  30253.695],[ 0.85270226 -1.1888857 ],[ 0.50633764 -2.7611868 ],[457.91055   11.077164],[0. 0.],[ True  True],118.36838390369533
7752,2,[54317.945 41894.16 ],[ 1.139696   -0.20437402],[-1.4280802  2.7656915],[-1126.1147   653.0348],[   0.     1129.1727],[ True  True],107.58928666161928
7756,2,[65508.547 57356.79 ],[-1.8496474 -0.4406791],[ 0.45755404 -2.7209175 ],[-225.86465 -259.6521 ],[0. 0.],[ True  True],154.27897018429243
7806,2,[106597.38  40386.08],[ 0.26885355 -0.618722  ],[2.5535638  0.10533728],[-1157.7784  2091.438 ],[   0.    4295.273],[ True  True],137.30321973254766
7832,2,[59732.363 49043.832],[-0.6632305 -1.8716545],[ 1.3025129 -1.8074017],[-134.3663  -144.22968],[2463.1497    0.    ],[ True  True],128.60635055731194
7886,2,[44210.77  42584.027],[ 0.14880253 -1.9568012 ],[ 0.92649204 -2.3487113 ],[  75.767395 1458.0829  ],[1186.9053    0.    ],[ True  True],139.3616231394014
7988,2,[44570.87  43207.035],[ 0.51185477 -0.55771905],[-3.0450675  -0.00887419],[1398.5068  -261.47363],[   0.     1475.9268],[ True  True],100.51362693215411
7989,2,[66432.33  31597.254],[-0.18433978 -2.0217721 ],[ 0.8233909 -1.537554 ],[ 987.01465 -243.34695],[0. 0.],[ True  True],128.45186554706066
7993,2,[56386.445 53927.41 ],[ 0.61846864 -0.13268952],[-2.47067    1.0313519],[ -45.9209 -310.9653],[0. 0.],[ True  True],116.49146614952309
8025,2,[59015.957 37588.426],[-0.2892491  1.2065363],[ 2.474854   -0.84666145],[-276.2874    72.61206],[26658.5     0. ],[ True  True],121.49927195784407
8062,2,[58050.31 51885.29],[-2.1756115 -2.1486533],[-1.9393435  1.2756654],[ 585.593   -133.98373],[   0.     1949.4629],[ True  True],109.69863402145525
8080,2,[61554.19  49134.258],[-1.8923017  -0.40492228],[ 2.3506126 -0.7802576],[ 42.867874 372.83334 ],[   0.     7550.6973],[ True  True],141.8323607722944
8103,2,[77315.586 53153.777],[ 0.16173524 -0.8887727 ],[ 1.0421735 -3.081475 ],[2049.2124 1541.253 ],[0. 0.],[ True  True],133.23455610936776
8178,2,[76738.2   54106.203],[1.6068717 1.0597733],[-1.4449723  1.2689242],[3248.9414 -791.9948],[22720.666     0.   ],[ True  True],130.89740886383248
8181,2,[59228.367 58670.824],[1.1369967 1.0687532],[-0.90206414  2.7212603 ],[1628.6133  -119.67023],[0. 0.],[ True  True],114.5650524075549
8213,2,[87375.89 30711.3 ],[-1.1396242  -0.41982532],[ 1.1756955 -1.5419854],[-1036.8568   668.7992],[1082.3848    0.    ],[ True  True],108.21302258368382
8230,2,[51167.465 51111.28 ],[-1.2604263 -1.1476011],[ 1.2803429 -2.002462 ],[-1686.8943   -136.22812],[0. 0.],[ True  True],102.18708906051585
8263,2,[91587.945 36696.32 ],[2.364991   0.71121055],[0.4579282 2.8781643],[-182.96802 -297.9673 ],[47978.535     0.   ],[ True  True],152.50311031549955
