entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
6510,2,[75087.82 33396.53],[-0.9672364   0.28562307],[-0.41337898  2.5623128 ],[-732.7489 2569.6028],[2596.4885 6501.833 ],[ True  True],120.16902734036177
6795,2,[50564.027 39221.824],[-0.75048584 -2.003335  ],[ 1.4005191 -0.8871809],[-776.2517 -380.8372],[   0.     2373.6833],[ True  True],100.5712891602858
6824,2,[52157.25 36004.94],[-2.038394  -0.5013104],[-1.4693773  2.039312 ],[-478.0952 2681.5015],[3320.5784 1965.2423],[ True  True],112.44366039742933
6837,2,[61256.4  58584.85],[-0.14586662  0.40932855],[ 1.4542898 -1.0572873],[-1136.4772      29.282196],[0. 0.],[ True  True],118.7929039925323
6876,2,[259501.92  33202.73],[0.4744438 0.9594467],[-2.3099349 -1.2396955],[-663.12103 1119.2867 ],[1818.6304 1088.2617],[ True  True],105.01953108530152
6883,2,[45984.45  32632.736],[-0.28036392 -2.2331858 ],[-1.7235451  2.199806 ],[ -29.096375 -138.52258 ],[0. 0.],[ True  True],113.6653576211553
6897,2,[56942.613 36838.453],[ 1.2047703 -0.7542834],[-2.7917368   0.11682231],[-867.86774  974.7622 ],[0. 0.],[ True  True],138.76500858072413
7012,2,[84786.805 66866.01 ],[-1.0855147  -0.72447646],[-2.8598213   0.36069623],[-110.617615  422.24652 ],[0. 0.],[ True  True],152.93520929160042
7100,2,[60201.902 40589.016],[-0.39260212  0.7430835 ],[-1.2247126  1.8373064],[ 635.09656 2104.5593 ],[   0.    8474.385],[ True  True],115.16924032310764
7106,2,[78167.01  59085.777],[-0.6490767 -1.545624 ],[-1.1467748  1.8462703],[-1057.1677    -121.158936],[0. 0.],[ True  True],149.46677204777828
7410,2,[63759.97  41195.965],[1.146959   0.68240124],[ 0.77588665 -2.0326543 ],[3776.5588 -486.0965],[0. 0.],[ True  True],103.89935523193645
7515,2,[63178.656 50883.613],[0.8739463  0.26171145],[ 2.5078976 -0.8345275],[-578.16565 1028.3818 ],[   0.     4032.9883],[ True  True],118.2070668023014
7593,2,[45157.926 41263.254],[0.92648244 2.0805025 ],[ 1.2997494 -1.6194417],[-550.8678   305.36407],[0. 0.],[ True  True],100.65359241524548
7630,2,[58815.76 55012.79],[-0.6462895  1.061617 ],[-2.5493865   0.17647177],[-385.0383   330.76733],[0. 0.],[ True  True],156.0726029247827
