entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
4101,2,[69607.67  54440.805],[1.5805916 0.6165925],[-0.7234313  2.337995 ],[517.5126  205.16101],[0. 0.],[ True  True],137.60999575286743
4250,2,[45230.176 30571.924],[-0.6077725  2.0182607],[-1.0728381  2.0337238],[776.51306 755.41797],[0. 0.],[ True  True],148.23038949020975
4263,2,[54912.8  31287.59],[ 1.3655909 -1.1402686],[-1.6403182  1.8590144],[1119.6812 2526.7087],[7615.659    0.   ],[ True  True],156.2448496448657
4327,2,[70998.62 33847.65],[0.5164156 2.3225884],[ 2.9397924 -0.7366399],[1004.25323 -158.06693],[0. 0.],[ True  True],138.4124834791425
4433,2,[72727.81  46667.344],[0.71387476 0.32733032],[ 2.6459658  -0.64802986],[-900.70044 3997.029  ],[0. 0.],[ True  True],118.36741133092633
4456,2,[49597.387 49105.12 ],[1.1018757 1.7014928],[-1.2651193  2.0397067],[ 800.6223 3740.5122],[1679.8732 7931.5327],[ True  True],102.85621854156292
4485,2,[77798.125 74251.12 ],[1.6892233 1.0696933],[ 1.3002872 -2.0049634],[-148.83557 -631.64624],[0. 0.],[ True  True],158.8741741095755
4492,2,[60192.66 48198.14],[-0.86758196 -2.0111735 ],[-0.80247194  2.382673  ],[-865.51764  176.09534],[0. 0.],[ True  True],125.79868524832406
4496,2,[60909.9  42676.16],[-0.55421907  0.6398721 ],[ 1.7370268 -1.3657598],[-1410.9302  2136.867 ],[   0.    8831.171],[ True  True],120.67278038097524
4502,2,[42996.227 35436.23 ],[-0.8735368   0.64996624],[ 3.1351686  -0.31103602],[1672.0083 -771.4615],[1919.9036 8123.95  ],[ True  True],101.14263264115043
4526,2,[61964.633 39163.875],[1.9040474  0.05859974],[-2.5573347  1.5797658],[497.72943  -20.790405],[   0.     1146.6271],[ True  True],135.6015383906377
4529,2,[59253.49  36616.594],[-0.80734247  0.04546176],[-1.0868213  1.9907473],[-278.40125 2399.4385 ],[0. 0.],[ True  True],101.71369199881902
4539,2,[48079.336 39799.61 ],[-0.19121134 -2.2186785 ],[-1.6994662  1.3503803],[1133.1089   183.65553],[0. 0.],[ True  True],136.36689274874905
4573,2,[53351.207 47266.758],[0.9244823 0.8359732],[ 0.590993  -2.3541641],[-418.31754  352.97174],[2197.255    0.   ],[ True  True],100.04863053215954
4605,2,[68225.47 45902.73],[-0.9528678  0.3194191],[ 2.5099306  -0.94505376],[166.96182 100.33194],[0. 0.],[ True  True],134.2127380475847
4617,2,[112665.52  54839.18],[-0.47499394 -0.49540153],[-0.94696194  2.0197952 ],[ 295.85312 3739.2388 ],[   0.    5306.679],[ True  True],156.61459902144753
4730,2,[53879.754 37873.266],[-0.99415755  0.5742142 ],[-1.8669993  2.7058096],[173.71146  56.03607],[0. 0.],[ True  True],103.85343738317293
4768,2,[68346.15  64737.207],[0.7937926 0.8829647],[-2.7753737   0.33718115],[  537.6    -1033.9264],[1681.9447    0.    ],[ True  True],133.1526578082166
4801,2,[79174.25 60146.49],[-2.0330434 -2.042688 ],[-3.1407936  -0.23958218],[-170.86072 -431.16064],[0. 0.],[ True  True],137.02120665508835
4864,2,[44325.55  33030.293],[-1.6348628   0.83176494],[ 1.9746729  -0.30463293],[2559.5154    105.015015],[4136.6626 1106.6049],[ True  True],138.85399044509705
4902,2,[80800.34  43895.555],[-0.5457441  -0.40766403],[-1.5294257  1.3988926],[ 790.6942 -313.7967],[0. 0.],[ True  True],118.71864548155655
4961,2,[53918.75  38736.527],[ 0.85815096 -1.1903089 ],[-1.7042388  1.6142054],[-218.37714 2929.9065 ],[   0.      1013.93335],[ True  True],143.45959829602378
4999,2,[65119.277 60258.6  ],[-0.94998103 -0.8075212 ],[ 2.1444528 -1.1321896],[ 251.9961 1569.2759],[0. 0.],[ True  True],125.31679487367776
5047,2,[44672.098 40864.14 ],[-0.6808276  1.177431 ],[-1.0120153  2.2107053],[-171.4241 2729.0083],[0. 0.],[ True  True],125.01873336646022
5070,2,[55263.246 30426.252],[-0.6679869  0.9859654],[-0.09923036 -2.9389145 ],[-1377.9608    123.08212],[2718.542    0.   ],[ True  True],111.00640147114014
5110,2,[55231.82  48897.957],[1.126985  0.8076974],[-2.455824    0.45048293],[-879.56226 -186.59799],[0. 0.],[ True  True],104.55496879180109
5175,2,[45543.336 36583.406],[2.045834  0.5091996],[ 0.77036726 -2.1617653 ],[2686.588    -16.73758],[1196.3865    0.    ],[ True  True],106.59982487869284
